Date,Source,Title,Author,Link,Subtitle
2021-11-22,China Neican,***Neican is entering a new era***,,https://www.neican.org/neican-is-entering-a-new-era/,
2021-11-19,China Neican,"Brief #95: US-China, ideology, Peng Shuai",,https://www.neican.org/us-china-ideology-peng-shuai/,
2021-11-19,China Neican,"Politburo meeting: November 18, 2021",,https://www.neican.org/politburo-meeting-november-18-2021/,
2021-11-23,China Heritage,A Peculiar Kind of Spark — an iPad and landscapes primed to burn,Geremie R. Barmé,https://chinaheritage.net/journal/a-peculiar-kind-of-spark-an-ipad-and-landscapes-primed-to-burn/,"Spectres & SoulsIn the northern summer of 2018, a spark from a rancher’s steel hammer pounding on a rusty stake in a bone-dry field ignited the largest wildland fire in the history of California."
2021-11-23,China Media Project,Searching for Peng Shuai,David Bandurski,https://chinamediaproject.org/2021/11/23/searching-for-peng-shuai/,
2021-11-19,China Media Project,Civilizing Cyberspace,David Bandurski,https://chinamediaproject.org/2021/11/19/civilizing-cyberspace/,
2021-11-19,China Brief,Early Warning Brief: Did Xi Jinping Secure “Leader for Life” Status at the Sixth Plenum?,Willy Wo-Lap Lam,https://jamestown.org/program/early-warning-brief-did-xi-jinping-secure-leader-for-life-status-at-the-sixth-plenum/,
2021-11-19,China Brief,Infrastructure Development in Tibet and its Implications for India,Suyash Desai,https://jamestown.org/program/infrastructure-development-in-tibet-and-its-implications-for-india/,
2021-11-19,China Brief,Geopolitical Challenges Cloud Next Chapter in Xi’s Triumphalist History,John S. Van Oudenaren,https://jamestown.org/program/geopolitical-challenges-cloud-next-chapter-in-xis-triumphalist-history/,
2021-11-19,China Brief,Evolving Missions and Capabilities of the PLA Rocket Force: Implications for Taiwan and Beyond,Yuan-Chou Jing,https://jamestown.org/program/evolving-missions-and-capabilities-of-the-pla-rocket-force-implications-for-taiwan-and-beyond/,
2021-11-19,China Brief,Australia-China Tensions Simmer Amid Trade War and AUKUS,William Yuen Yee,https://jamestown.org/program/australia-china-tensions-simmer-amid-trade-war-and-aukus/,
2021-11-24,Project Syndicate,China's Tech Regulators Strike Again,Angela Huyue Zhang ,https://www.project-syndicate.org/commentary/china-regulator-new-draft-guidelines-data-collection-use-and-transfer-by-angela-huyue-zhang-2021-11,Angela Huyue Zhang expects the Cyberspace Administration of China to change the game for the country’s online platforms.        
2021-11-22,Project Syndicate,Redefining Engagement with China,Javier Solana ,https://www.project-syndicate.org/commentary/us-china-engagement-solving-global-challenges-by-javier-solana-2021-11,Javier Solana urges US policymakers to shift their emphasis from reforming China to solving global problems jointly.        
2021-11-19,Project Syndicate,Rebuilding the Infrastructure of Sino-American Relations,Minghao Zhao ,https://www.project-syndicate.org/commentary/can-america-and-china-stabilize-bilateral-relations-by-minghao-zhao-2021-11,Minghao Zhao urges both sides to invest in the infrastructure supporting the increasingly brittle bilateral relationship.        
2021-10-18,Project Syndicate,The Taiwan Triangle,Richard Haass ,https://www.project-syndicate.org/commentary/us-policy-to-prevent-chinese-invasion-of-taiwan-by-richard-haass-2021-10,"Richard Haass explains why the island’s status is a situation that must be managed, not a problem that can be solved.        "
2021-10-11,Project Syndicate,Saving Taiwan,Brahma Chellaney ,https://www.project-syndicate.org/commentary/us-defend-taiwan-from-chinese-invasion-by-brahma-chellaney-2021-10,Brahma Chellaney urges the US to make a credible commitment to defend the island militarily against an invasion by China.        
2021-06-03,Project Syndicate,China’s Uyghur Genocide Is Undeniable,Irwin Cotler  & Yonah Diamond ,https://www.project-syndicate.org/commentary/evidence-of-china-uyghur-genocide-by-irwin-cotler-and-yonah-diamond-2021-06,Irwin Cotler  & Yonah Diamond argue that the government’s actions in Xinjiang clearly breach the 1948 United Nations Genocide Convention.        
2021-04-20,Project Syndicate,The Xinjiang Genocide Allegations Are Unjustified,Jeffrey D. Sachs  & William Schabas ,https://www.project-syndicate.org/commentary/biden-should-withdraw-unjustified-xinjiang-genocide-allegation-by-jeffrey-d-sachs-and-william-schabas-2021-04,Jeffrey D. Sachs  & William Schabas urge the US to withdraw a grave and unsubstantiated charge leveled at the end of the Trump administration.        
2021-04-07,Project Syndicate,China’s Economic Self-Harm,Minxin Pei ,https://www.project-syndicate.org/commentary/china-sanctions-h-m-xinjiang-cotton-by-minxin-pei-2021-04,Minxin Pei thinks the country's antagonistic response to Western concerns over forced labor in Xinjiang will backfire.        
2021-01-12,Project Syndicate,Xi Jinping’s Strategic Overreach,Brahma Chellaney ,https://www.project-syndicate.org/onpoint/china-expansionism-india-military-buildup-by-brahma-chellaney-2021-01,"Brahma Chellaney is confident that China will regret its actions in 2020, beginning with its aggression toward India.        "
2019-12-26,Project Syndicate,A Fair Assessment of China’s IP Protection,Shang-Jin Wei  & Xinding Yu ,https://www.project-syndicate.org/onpoint/china-ip-theft-myth-by-shang-jin-wei-and-xinding-yu-2019-12,Shang-Jin Wei  & Xinding Yu point to data showing that China is doing exactly what is expected for a country at its income level.        
2019-04-08,Project Syndicate,Global Silence on China’s Gulag,Brahma Chellaney ,https://www.project-syndicate.org/commentary/xi-china-gulag-uighur-muslims-xinjiang-by-brahma-chellaney-2019-04,Brahma Chellaney sees President Xi Jinping's crackdown on Muslims as a key feature of a totalitarian political project.        
2019-02-05,Project Syndicate,What Is Xi Jinping Thought?,Steve Tsang ,https://www.project-syndicate.org/commentary/china-xi-jinping-thought-reform-by-steve-tsang-2019-02,Steve Tsang decodes the Chinese president's eponymous political doctrine for outsiders.        
2018-05-15,Project Syndicate,Putting Tibet Back on the Agenda,Dhondup Wangchen ,https://www.project-syndicate.org/commentary/china-tibet-human-rights-commitments-by-dhondup-wangchen-2018-05,Dhondup Wangchen urges democratic governments not to turn human rights into a bargaining chip to appease a rising China.        
